get switch value,get base input,get arm input,get gripper input,publish base,publish arm,publish gripper,publish servo,,
0.002441883,1.24E-05,3.15E-05,6.37E-05,0.000226259,0.000181913,0.023518324,4.77E-06,,
2.86E-06,1.26E-05,2.79E-05,5.17E-05,0.000206232,0.000162125,0.010455847,5.25E-06,,
4.05E-06,1.67E-05,3.39E-05,6.32E-05,0.000235558,0.000165462,0.01342535,5.25E-06,,
3.10E-06,1.24E-05,2.65E-05,5.17E-05,0.000187397,0.000145912,0.010587692,5.48E-06,,
3.81E-06,1.29E-05,3.00E-05,4.77E-05,0.000200272,0.000172138,0.015842915,4.53E-06,,
3.10E-06,1.19E-05,2.62E-05,5.05E-05,0.000178099,0.000131845,0.014976025,4.29E-06,,
2.62E-06,1.22E-05,2.48E-05,5.01E-05,0.000179291,0.000127077,0.014565945,5.72E-06,,
3.81E-06,1.14E-05,2.62E-05,5.01E-05,0.000178576,0.000124454,0.011327982,5.72E-06,,
3.81E-06,1.05E-05,2.53E-05,4.60E-05,0.000180244,0.000198126,0.017859936,4.77E-06,,
2.62E-06,1.22E-05,2.57E-05,5.17E-05,0.000178099,0.000128984,0.015555382,4.53E-06,,
3.58E-06,1.24E-05,2.91E-05,4.94E-05,0.000240326,0.000151873,0.013943195,3.34E-06,,
4.05E-06,1.19E-05,2.69E-05,4.94E-05,0.000186682,0.000148773,0.010864019,5.48E-06,,
3.34E-06,1.41E-05,2.98E-05,5.20E-05,0.000201464,0.000203848,0.00997138,4.77E-06,,
3.58E-06,1.29E-05,2.74E-05,5.10E-05,0.000184059,0.000199318,0.015794754,4.53E-06,,
3.81E-06,1.36E-05,3.03E-05,5.08E-05,0.00020504,0.000157833,0.011832237,3.81E-06,,
3.81E-06,1.26E-05,2.62E-05,5.10E-05,0.000193357,0.000181913,0.009860039,5.72E-06,,
4.05E-06,1.10E-05,2.34E-05,4.72E-05,0.000192881,0.000146627,0.011088848,4.77E-06,,
2.62E-06,1.41E-05,2.69E-05,5.39E-05,0.000200033,0.000163317,0.013380289,4.29E-06,,
3.34E-06,1.48E-05,2.93E-05,5.56E-05,0.000217438,0.000157833,0.012416363,5.01E-06,,
3.81E-06,1.31E-05,2.79E-05,5.46E-05,0.000272751,0.000240564,0.016646624,5.01E-06,,
