t_yaw_enc,data_yaw_enc,t_yaw_mirte,data_yaw_mirte,t_shoulder_enc,data_shoulder_enc,t_shoulder_mirte,data_shoulder_mirte,t_elbow_enc,data_elbow_enc,t_elbow_mirte,data_elbow_mirte,t_wrist_enc,data_wrist_enc,t_wrist_mirte,data_wrist_mirte,t_gripper_enc,data_gripper_enc,t_gripper_mirte,data_gripper_mirte
1.556199312,-0.03132767,2.202921152,-0.00418879,1.589461088,1.361505651,2.232694387,0.963072658,1.618501425,-2.737175102,2.273548841,-1.589994907,1.64706707,-1.562238216,2.288056612,-1.433962464,1.676944733,0.00644949,2.300480366,0.446106166
1.570454597,-0.03132767,2.35274744,0,1.603838921,1.361505651,3.715931416,0.971450269,1.639005899,-2.737175102,2.297421455,-1.594183683,1.672877789,-1.562238216,2.353654146,-1.429773688,1.70294404,0.00644949,2.315000296,0.44191736
1.603398561,-0.03132767,2.376379251,-0.00418879,1.640059948,1.361505651,3.736181498,1.000771761,1.671754122,-2.737175102,2.315362453,-1.589994907,1.704828024,-1.562238216,2.376704216,-1.433962464,1.735801458,0.00644949,2.33398509,0.433539778
1.639779806,-0.034396386,2.554773092,0,1.671957016,1.361505651,3.755935431,1.080358863,1.706449986,-2.737175102,2.834103107,-1.598372579,1.735689878,-1.562238216,2.475604773,-1.429773688,1.76787138,0.00644949,2.353413582,0.44191736
1.670581341,-0.034396386,2.574173212,-0.00418879,1.704686642,1.361505651,3.77676487,1.147379398,1.735269308,-2.738709564,2.860682011,-1.589994907,1.769100189,-1.562238216,2.493186712,-1.433962464,1.799995184,0.00644949,2.392871857,0.446106166
1.70442915,-0.037465086,2.613298655,0,1.735030651,1.361505651,3.795683622,1.222777724,1.769273996,-2.737175102,3.075669527,-1.594183683,1.801071405,-1.562238216,2.514279366,-1.429773688,1.832998991,0.00644949,2.415292978,0.433539778
1.735482454,-0.037465086,2.633898497,-0.00418879,1.768344641,1.361505651,3.815237045,1.285609484,1.800925732,-2.737175102,3.093978167,-1.589994907,1.834003925,-1.562238216,2.532467127,-1.433962464,1.867969513,0.00644949,2.432734013,0.446106166
1.768093348,-0.032862028,2.654278278,0,1.800750017,1.361505651,3.836596727,1.344252586,1.834349632,-2.737175102,3.356540203,-1.598372579,1.867690086,-1.562238216,2.554172039,-1.429773688,1.899794579,0.00644949,2.493521452,0.44191736
1.800249815,-0.032862028,2.673091173,-0.00418879,1.833757401,1.361505651,3.855637074,1.373574138,1.86781168,-2.737175102,3.360994101,-1.589994907,1.900154591,-1.562238216,2.593870163,-1.433962464,1.933218956,0.00644949,2.514567614,0.446106166
1.834157228,-0.029793313,2.69418931,0,1.867278576,1.361505651,3.87477541,1.386140466,1.899984598,-2.738709564,3.535934687,-1.598372579,1.933662415,-1.562238216,2.634179115,-1.421396136,1.964855671,0.00644949,2.554517746,0.44191736
1.867483616,-0.038999444,2.713012457,-0.00418879,1.899591446,1.361505651,3.935472965,1.38195169,1.933452606,-2.738709564,3.557543516,-1.594183683,1.965993881,-1.562238216,2.654937983,-1.433962464,1.998832941,0.00644949,2.593559027,0.446106166
1.900258541,-0.048205575,2.738512754,0,1.932950974,1.361505651,3.952516794,1.373574138,1.966164351,-2.738709564,3.593755007,-1.589994907,1.999234438,-1.562238216,2.752971172,-1.429773688,2.030881405,0.00644949,2.613542557,0.44191736
1.93394804,-0.048205575,2.753780365,-0.00418879,1.96583581,1.361505651,3.976226807,1.369385362,1.999339819,-2.738709564,3.654477119,-1.585806131,2.032024145,-1.562238216,2.777554035,-1.433962464,2.064983845,0.00644949,2.673333406,0.446106166
1.965179443,-0.043602517,2.861268282,0,1.998605728,1.361505651,4.194446325,1.365196586,2.031849384,-2.738709564,3.695050955,-1.589994907,2.064826727,-1.562238216,2.894675255,-1.429773688,2.098949432,0.00644949,2.738772154,0.44191736
1.999031544,-0.042068159,2.873427868,-0.00418879,2.032143831,1.361505651,4.211516619,1.369385362,2.065304518,-2.737175102,3.81644249,-1.581617355,2.09962678,-1.562238216,2.915634155,-1.433962464,2.131064415,0.00644949,2.753433943,0.446106166
2.03107214,-0.043602517,2.894190788,0,2.064584494,1.361505651,5.913920641,1.365196586,2.099234104,-2.737175102,3.83611989,-1.577428579,2.13352704,-1.562238216,3.033296108,-1.429773688,2.171035051,0.00644949,2.777868032,0.44191736
2.065145731,-0.052808648,2.915162563,-0.00418879,2.100022078,1.361505651,5.936787367,1.356818914,2.133160114,-2.737175102,3.854948521,-1.573239803,2.171658039,-1.562238216,3.054267645,-1.433962464,2.198566198,0.00644949,2.794435978,0.446106166
2.099818468,-0.052808648,2.973279476,0,2.133844852,1.361505651,5.955832243,1.348441362,2.166078329,-2.737175102,3.874303579,-1.569051027,2.203629255,-1.562238216,3.357941866,-1.429773688,2.231018066,0.00644949,2.834387779,0.44191736
2.132409573,-0.065083479,2.993284464,-0.00418879,2.171259165,1.361505651,5.974491119,1.335875034,2.198321581,-2.737175102,3.915335894,-1.573239803,2.237553835,-1.562238216,3.360835552,-1.433962464,2.265492201,0.00644949,2.861002684,0.446106166
2.169677258,-0.062014779,3.014062881,0,2.20176959,1.361505651,5.993392706,1.319119811,2.236486197,-2.738709564,3.935990095,-1.581617355,2.272209644,-1.562238216,3.474971533,-1.429773688,2.298262596,0.00644949,2.894490242,0.44191736
2.202357054,-0.062014779,3.075360537,-0.00418879,2.236767292,1.361505651,6.013909578,1.285609484,2.268313885,-2.737175102,3.977828264,-1.585806131,2.299244165,-1.556100845,3.493510962,-1.433962464,2.33105731,0.00644949,2.915454388,0.446106166
2.231475115,-0.062014779,3.09362793,0,2.266880989,1.361505651,6.033097982,1.256288052,2.298663378,-2.737175102,4.016200304,-1.581617355,2.334285259,-1.554566383,3.633053064,-1.429773688,2.362648249,0.00644949,2.97300005,0.44191736
2.267447233,-0.058946064,3.353970051,-0.00418879,2.299582005,1.361505651,6.05278945,1.2269665,2.334852457,-2.738709564,4.052407265,-1.573239803,2.362899065,-1.556100845,3.655435562,-1.433962464,2.395185232,0.00644949,2.993538141,0.446106166
2.299809694,-0.049739932,3.360599756,0,2.330332279,1.361505651,6.07612896,1.193456173,2.36307621,-2.738709564,4.134722233,-1.581617355,2.395555019,-1.556100845,3.716619492,-1.450717688,2.42774415,0.00644949,3.053912878,0.44191736
2.330622196,-0.038999444,3.36060977,-0.00418879,2.361917734,1.361505651,6.092603207,1.17670095,2.395405054,-2.738709564,4.152647495,-1.585806131,2.427908421,-1.556100845,3.736040592,-1.475850463,2.459700823,0.00644949,3.075847864,0.433539778
2.363211155,-0.038999444,3.360613585,0,2.395831347,1.361505651,6.115810871,1.143190622,2.428226471,-2.738709564,4.17380023,-1.581617355,2.460721254,-1.556100845,3.756425381,-1.513549566,2.494784355,0.00644949,3.094182968,0.446106166
2.395669699,-0.034396386,3.36062026,-0.00418879,2.427482367,1.361505651,6.154493332,1.130624294,2.461030245,-2.738709564,4.252950668,-1.577428579,2.494661808,-1.556100845,3.775797606,-1.534493446,2.526860237,0.00644949,3.133924484,0.44191736
2.428058863,-0.034396386,3.474370956,0,2.460908175,1.361505651,6.279126644,1.122246742,2.494510412,-2.738709564,4.316313744,-1.581617355,2.527379751,-1.556100845,3.795959473,-1.555437446,2.559806824,0.00644949,3.367488146,0.446106166
2.459923267,-0.029793313,3.513623953,-0.00418879,2.494330406,1.361505651,6.296016693,1.113869071,2.52727437,-2.738709564,4.552561045,-1.577428579,2.560013294,-1.556100845,3.855260611,-1.563814998,2.592405319,0.00644949,3.367497683,0.44191736
2.493988752,-0.029793313,3.556716681,0,2.526624918,1.361505651,6.313665152,1.105491519,2.560321093,-2.738709564,4.573849201,-1.581617355,2.593211412,-1.556100845,3.875232697,-1.559626222,2.62579608,0.00644949,3.367501497,0.446106166
2.52707386,-0.023655897,3.587298155,-0.00418879,2.559580564,1.361505651,6.33573842,1.097113967,2.593075514,-2.738709564,6.013529301,-1.577428579,2.626895428,-1.556100845,3.893529892,-1.555437446,2.658780098,0.00644949,3.367505074,0.44191736
2.560157061,-0.028258955,3.613672495,0,2.592641115,1.361505651,6.358694553,1.084547639,2.626295328,-2.738709564,6.053111792,-1.581617355,2.659691811,-1.556100845,3.935785532,-1.563814998,2.692512751,0.00644949,3.393983364,0.446106166
2.592811108,-0.038999444,3.652178526,-0.00418879,2.626727581,1.361505651,6.377427816,1.06360364,2.65985918,-2.738709564,6.094393015,-1.585806131,2.69289279,-1.556100845,3.997197151,-1.559626222,2.724455833,0.00644949,3.494079113,0.44191736
2.626504183,-0.038999444,3.694592237,0,2.659423828,1.361505651,6.396072626,1.046848536,2.692993879,-2.738709564,6.113858223,-1.581617355,2.725026131,-1.556100845,4.016474009,-1.563814998,2.756921053,0.00644949,3.536384583,0.446106166
2.65997386,-0.05127429,3.715550184,0.012566371,2.692280531,1.361505651,6.416579247,1.02171576,2.724685907,-2.738709564,6.154773712,-1.585806131,2.758105993,-1.556100845,5.313343048,-1.568003774,2.790966749,0.00644949,3.55858469,0.44191736
2.692701817,-0.05127429,3.735503197,0.01675516,2.725136995,1.361505651,6.43576932,0.992394209,2.758219957,-2.738709564,6.17408514,-1.581617355,2.791190863,-1.556100845,6.359251738,-1.563814998,2.822931767,0.00644949,3.586673737,0.446106166
2.724853992,-0.035930728,3.75622797,0.020943951,2.75764823,1.361505651,6.456367254,0.954695106,2.790842533,-2.738709564,6.359021425,-1.585806131,2.823948145,-1.556100845,6.396595001,-1.559626222,2.857229948,0.00644949,3.593444824,0.44191736
2.75788331,-0.034396386,3.775452614,0.029321531,2.790676832,1.361505651,6.473552942,0.908618391,2.823796988,-2.738709564,6.377827168,-1.581617355,2.85712266,-1.556100845,6.416998386,-1.547059894,2.890604973,0.00644949,3.61406064,0.446106166
2.790431261,-0.034396386,3.814868927,0.03351032,2.82359767,1.361505651,6.496030092,0.879296899,2.856737375,-2.738709564,6.495406151,-1.585806131,2.890987873,-1.556100845,6.43556118,-1.526115894,2.921908855,0.00644949,3.633307934,0.44191736
2.824063301,-0.058946064,3.973541498,0.046076693,2.856482267,1.361505651,6.51783514,0.841597736,2.890830278,-2.738709564,6.557620287,-1.581617355,2.923224449,-1.556100845,6.459127188,-1.496794343,2.954921961,0.00644949,3.674495935,0.446106166
2.856928349,-0.054343005,4.134193182,0.050265484,2.891126871,1.361505651,6.534923553,0.79552108,2.922897577,-2.738709564,6.637083769,-1.585806131,2.955964565,-1.556100845,6.475180387,-1.471661568,2.988685846,0.00644949,3.694860458,0.44191736
2.891225576,-0.043602517,4.152160883,0.054454274,2.923103809,1.361505651,6.556978941,0.741066813,2.955346584,-2.738709564,6.658943176,-1.581617355,2.989998102,-1.556100845,6.495848656,-1.450717688,3.021331072,0.00644949,3.71635294,0.446106166
2.922693491,-0.043602517,4.194717169,0.062831856,2.955537558,1.361505651,6.580130816,0.686612546,2.989863396,-2.738709564,6.675608158,-1.585806131,3.022084713,-1.55763483,6.517456293,-1.425584912,3.055105686,0.00644949,3.735805035,0.44191736
2.955714464,-0.046671217,4.274555206,0.054454274,2.989319563,1.361505651,6.602329969,0.640535831,3.021570444,-2.738709564,6.859315395,-1.581617355,3.055539608,-1.556100845,6.53441596,-1.404641032,3.086868286,0.00644949,3.777556896,0.446106166
2.989589691,-0.048205575,4.332322359,0.050265484,3.021968126,1.361505651,6.618510723,0.59027034,3.055430651,-2.738709564,6.896658421,-1.585806131,3.088070393,-1.55763483,6.557819128,-1.387885809,3.119930983,0.00644949,3.816714287,0.44191736
3.021767616,-0.048205575,4.375038385,0.046076693,3.055292606,1.361505651,6.634796381,0.535816073,3.088201284,-2.738709564,6.91845417,-1.581617355,3.120851517,-1.556100845,6.584915161,-1.362753034,3.154049158,0.00644949,3.836414814,0.446106166
3.054532528,-0.048205575,4.433815479,0.037699111,3.087863922,1.361505651,6.657167912,0.47717303,3.120543957,-2.738709564,6.94162941,-1.585806131,3.153903484,-1.55763483,6.6019907,-1.354375482,3.18645978,0.00644949,3.85548687,0.44191736
3.087092161,-0.049739932,4.453368902,0.03351032,3.120152473,1.361505651,6.673945189,0.426907539,3.153761148,-2.738709564,7.019124508,-1.581617355,3.187276125,-1.556100845,6.620343208,-1.329242706,3.219984293,0.00644949,3.875058651,0.446106166
3.12028718,-0.054343005,4.516842604,0.037699111,3.153476715,1.361505651,6.69442606,0.380830854,3.186953068,-2.738709564,7.09645009,-1.585806131,3.220792055,-1.55763483,6.637281179,-1.32505393,3.252612829,0.00644949,3.893866539,0.44191736
3.154152393,-0.058946064,4.551587105,0.046076693,3.186749935,1.361505651,6.716065407,0.334754139,3.220589638,-2.738709564,7.117949009,-1.581617355,3.252970695,-1.556100845,6.661257267,-1.308298826,3.286047935,0.00644949,3.915617466,0.446106166
3.187121153,-0.058946064,4.593631029,0.050265484,3.220179081,1.361505651,6.735565662,0.301243842,3.253074408,-2.738709564,7.180370808,-1.585806131,3.285629034,-1.556100845,6.678197145,-1.295732379,3.318799019,0.00644949,3.975984812,0.44191736
